,basementsqft,bathroomcnt,bedroomcnt,calculatedbathnbr,calculatedfinishedsquarefeet,finishedfloor1squarefeet,finishedsquarefeet12,finishedsquarefeet13,finishedsquarefeet15,finishedsquarefeet50,finishedsquarefeet6,fireplacecnt,fullbathcnt,garagecarcnt,garagetotalsqft,landtaxvaluedollarcnt,lotsizesquarefeet,numberofstories,poolsizesum,roomcnt,structuretaxvaluedollarcnt,taxamount,taxvaluedollarcnt,threequarterbathnbr,unitcnt,yardbuildingsqft17,yardbuildingsqft26,logerror
finishedsquarefeet6,,-0.14021958590347577,-0.3196633736112294,0.7675587409088421,1.0,,,,,,1.0,0.43292943029384795,0.7631289079930089,0.021941148461967926,,0.08898606868104758,0.15829015865908755,0.4832347117983174,,-0.38276364700163,0.2779228073622358,0.14539854435147975,0.1589714743683453,,0.7500803871656572,,,0.0368469458748616
fireplacecnt,0.14922063425850124,0.4480156379768511,0.23476479696929067,0.47261762628036336,0.5799728161123753,0.491749275398085,0.5784749891274188,,0.9099321251100628,0.48323512354832643,0.43292943029384795,1.0,0.43824937825239646,0.28692052562378123,0.3189414094539,0.26954777742761954,0.22939978499937647,0.1734250790050663,0.20022342548630231,0.2932581376025565,0.5080553954281999,0.3917722971326184,0.3953422863427898,0.007182061971549673,0.2749436166801275,0.24986769321270635,0.334930389763949,0.03323501983669603
fullbathcnt,0.3189472242824001,0.9841304260999284,0.6137530347790692,0.9841304260999284,0.7803248776381777,0.5291459968838067,0.7829564142409826,,0.7006180806850537,0.5191725413917705,0.7631289079930089,0.43824937825239646,1.0,0.45486450956384944,0.46444611883287135,0.3583291466597062,0.013917067146285718,0.24911194319778102,0.24203958803536435,-0.02159936630488231,0.5924098207157459,0.47600996330084894,0.48091988731300506,0.20709038702366972,0.15463334603639814,0.2455751719041898,0.23898793221584355,0.02884512170726914
garagecarcnt,0.22571280009032535,0.5024291660542679,0.4321153139075015,0.4798619829600243,0.5061659624430139,0.46176540428978524,0.5530589627141024,,0.556943790794412,0.45222134872943065,0.021941148461967926,0.28692052562378123,0.45486450956384944,1.0,0.6418828815238461,0.2503688719078658,0.23126882719307842,0.10724378401870292,0.2959386814777035,0.17246946569793237,0.4731093067882764,0.3531143504710822,0.3639721958194358,0.24285397026438163,-0.18224291797005562,0.26349320040116225,0.3741969502156062,0.02653122753012894
garagetotalsqft,0.2775000494725041,0.4510618158752665,0.5914964282286687,0.444417652582587,0.6043598923480619,0.6037772599856642,0.6259377656101435,,,0.5872753859363998,,0.3189414094539,0.46444611883287135,0.6418828815238461,1.0,0.2696107550357959,0.24485271199936054,0.025597688687656366,0.2834765218629261,0.4074597084253229,0.4307785380452755,0.34834454801209025,0.3619791647613232,0.1930204808853762,-0.1914832039611395,0.3694383100575045,0.33911850287657,0.023888260698703343
landtaxvaluedollarcnt,0.12386352752424473,0.3538063899578007,0.17320529051201203,0.3716337939742885,0.45855018911911066,0.44727925055072365,0.4804631183551145,0.029610569680475003,0.19481766387416374,0.44580083360343925,0.08898606868104758,0.26954777742761954,0.3583291466597062,0.2503688719078658,0.2696107550357959,1.0,-0.034030227508728104,0.08702798233658135,0.30486081320931574,0.030126131738963398,0.6232919039160646,0.9027125293880764,0.9553357687408912,0.2747120361807126,0.006014450817238067,0.2602884503450204,-0.01217266659152812,-0.0030510345849935117
lotsizesquarefeet,-0.14489994536536893,-0.00019683515733050796,-0.1139837099649568,0.0048526483310897435,-0.04876982571272955,0.35316820297264917,-0.046706405105279875,0.2959683581518233,0.12549519985677265,0.35177759892445337,0.15829015865908755,0.22939978499937647,0.013917067146285718,0.23126882719307842,0.24485271199936054,-0.034030227508728104,1.0,-0.005338349002698233,0.15794165201621868,-0.08495260555061483,0.0086549967541818,-0.022037709829469797,-0.02134672922837277,0.05055259693456356,-0.028587042710453016,0.17329179229744507,0.3931098824997866,0.004835249667578244
numberofstories,0.43753592494549415,0.3208335843944127,0.150590798006797,0.3697596741829074,0.34696396571384985,-0.2864343255029958,0.3411284642667394,,0.43198277170041527,-0.2820457432994514,0.4832347117983174,0.1734250790050663,0.24911194319778102,0.10724378401870292,0.025597688687656366,0.08702798233658135,-0.005338349002698233,1.0,-0.04606568667402856,0.24319817711239933,0.222952691378981,0.14078214915135298,0.14101394985800741,-0.04180956151317063,0.3067778178487903,0.04627907092617143,0.0788206021221517,0.013075476889113678
poolsizesum,-0.19116708402874158,0.24353442418656612,0.18090042947545146,0.2542960390248333,0.3085265278712461,0.36699280006197943,0.3085265278712461,,,0.35632035493140496,,0.20022342548630231,0.24203958803536435,0.2959386814777035,0.2834765218629261,0.30486081320931574,0.15794165201621868,-0.04606568667402856,1.0,0.1532550117090434,0.31183670677742753,0.3265121239697973,0.3349587064061799,,,0.3210443174855476,0.0199495171074436,-0.0004541683428820674
roomcnt,0.46626748485367775,0.044460591094009023,0.16448446447132817,0.03148618328726012,0.09824425113907767,0.541401638150563,0.12031179897776084,0.19697217860802968,-0.0010674358681864679,0.5291760858726653,-0.38276364700163,0.2932581376025565,-0.02159936630488231,0.17246946569793237,0.4074597084253229,0.030126131738963398,-0.08495260555061483,0.24319817711239933,0.1532550117090434,1.0,-0.02881511835350639,-0.031907965364298206,0.01152660936314536,-0.04614579598788918,0.025410756668343408,0.3057692712366249,0.20563755105477233,0.0057597962348403375
structuretaxvaluedollarcnt,0.5490544112065732,0.586640601322016,0.30540530183426257,0.6116652114897612,0.7164885189911135,0.5973806222837861,0.7440484063550011,-0.1257208072674601,0.4232379742737643,0.5874572806921871,0.2779228073622358,0.5080553954281999,0.5924098207157459,0.4731093067882764,0.4307785380452755,0.6232919039160646,0.0086549967541818,0.222952691378981,0.31183670677742753,-0.02881511835350639,1.0,0.7950135362852229,0.8260522156850723,0.41038748548854675,-0.0009667124631622356,0.31690216645630603,0.1839250178188018,0.022084970123310607
taxamount,0.4061300711670656,0.4618995371061879,0.23911793618761193,0.48731957198547815,0.5890224652349161,0.5117081429191321,0.6124957251620429,-0.10385903785962872,0.2912271710261414,0.5075771004220894,0.14539854435147975,0.3917722971326184,0.47600996330084894,0.3531143504710822,0.34834454801209025,0.9027125293880764,-0.022037709829469797,0.14078214915135298,0.3265121239697973,-0.031907965364298206,0.7950135362852229,1.0,0.9493758382540273,0.3506683315950084,0.008021859949334095,0.2988500660563689,0.08281101990515835,-0.006671115654112874
taxvaluedollarcnt,0.3725805066071691,0.47636283754756475,0.24132920365891494,0.4977628608272041,0.6000181808482019,0.5556788353314484,0.6260518878985151,-0.0725165173433959,0.2875859388297823,0.5503605467726312,0.1589714743683453,0.3953422863427898,0.48091988731300506,0.3639721958194358,0.3619791647613232,0.9553357687408912,-0.02134672922837277,0.14101394985800741,0.3349587064061799,0.01152660936314536,0.8260522156850723,0.9493758382540273,1.0,0.35536739158688696,0.0039137246340081215,0.3078894961395841,0.0926155431562369,0.006507998748992632
threequarterbathnbr,,0.26026295970088875,0.111311538168346,0.26026295970088875,0.3201131444489315,,0.31992981686453276,,,,,0.007182061971549673,0.20709038702366972,0.24285397026438163,0.1930204808853762,0.2747120361807126,0.05055259693456356,-0.04180956151317063,,-0.04614579598788918,0.41038748548854675,0.3506683315950084,0.35536739158688696,1.0,,,,0.03406866966405403
unitcnt,,0.11903778850114768,0.18083775034715535,0.1546406769932335,0.14617760821721373,,0.003358235201886142,,0.5583643444110151,,0.7500803871656572,0.2749436166801275,0.15463334603639814,-0.18224291797005562,-0.1914832039611395,0.006014450817238067,-0.028587042710453016,0.3067778178487903,,0.025410756668343408,-0.0009667124631622356,0.008021859949334095,0.0039137246340081215,,1.0,,,-0.003983000103626606
yardbuildingsqft17,0.017574390719374323,0.2537542082787346,0.2802450210968029,0.2567517750447309,0.3396670647863292,0.36919511309486447,0.33969086852015207,,1.0,0.35637085061306945,,0.24986769321270635,0.2455751719041898,0.26349320040116225,0.3694383100575045,0.2602884503450204,0.17329179229744507,0.04627907092617143,0.3210443174855476,0.3057692712366249,0.31690216645630603,0.2988500660563689,0.3078894961395841,,,1.0,0.1262012531882577,-0.023691730895262483
yardbuildingsqft26,-0.32920041247274145,0.2348986501001572,0.16995993499518045,0.2348986501001572,0.2823248163194454,0.271345423094543,0.2846888355438433,,,0.3430287669809295,,0.334930389763949,0.23898793221584355,0.3741969502156062,0.33911850287657,-0.01217266659152812,0.3931098824997866,0.0788206021221517,0.0199495171074436,0.20563755105477233,0.1839250178188018,0.08281101990515835,0.0926155431562369,,,0.1262012531882577,1.0,0.08617897294307417
logerror,0.2533946759233012,0.027889286550778988,0.025467090070982492,0.029447685316664213,0.03878406892175606,0.026241725892497073,0.041922367267909114,0.0347150011220519,0.019327282005529602,0.02361865415582669,0.0368469458748616,0.03323501983669603,0.02884512170726914,0.02653122753012894,0.023888260698703343,-0.0030510345849935117,0.004835249667578244,0.013075476889113678,-0.0004541683428820674,0.0057597962348403375,0.022084970123310607,-0.006671115654112874,0.006507998748992632,0.03406866966405403,-0.003983000103626606,-0.023691730895262483,0.08617897294307417,1.0
